constant, lambda, clicks, CTR, spend, CPM, CPC
25,1.4e-06,83,0.058%,6250,43.728922659278226,75.3012048192771
25,1.5e-06,83,0.056%,6250,41.88586938310492,75.3012048192771
25,1.6e-06,78,0.050%,6250,39.73375207410186,80.12820512820512
25,1.6999999999999998e-06,84,0.052%,6187440,38442.049019912396,73660.0
25,1.8e-06,67,0.048%,4683513,33833.078090009396,69903.17910447762
25,1.9e-06,66,0.049%,4398630,32950.51388847272,66645.90909090909
25,2e-06,65,0.053%,3765597,30932.993247572576,57932.26153846154
25,2.1e-06,62,0.053%,3527484,29934.7754139122,56894.903225806454
25,2.2e-06,55,0.049%,3212767,28751.651124912743,58413.94545454546
25,2.3e-06,52,0.050%,2848185,27210.83203561636,54772.78846153846
25,2.4e-06,50,0.049%,2686100,26460.65036005241,53722.0
25,2.4999999999999998e-06,50,0.051%,2532777,25756.3557598438,50655.54
25,2.5999999999999997e-06,48,0.050%,2457730,25384.790175482085,51202.708333333336
25,2.7e-06,48,0.050%,2382484,25004.03005751228,49635.083333333336
25,2.8e-06,46,0.050%,2262893,24441.248582383756,49193.32608695652
25,2.8999999999999998e-06,45,0.049%,2178416,23958.646781927764,48409.24444444444
30,1e-07,51,0.064%,6250,78.41808760241402,122.54901960784314
30,2e-07,54,0.063%,6250,73.24075701646453,115.74074074074075
30,3e-07,57,0.060%,6250,66.2413091402408,109.64912280701755
30,4e-07,55,0.055%,6250,62.07602077808568,113.63636363636364
30,5e-07,62,0.058%,6250,58.11088486606603,100.80645161290323
30,6e-07,63,0.055%,6250,54.683057001618614,99.2063492063492
30,7e-07,65,0.055%,6250,52.628033479849776,96.15384615384616
30,8e-07,69,0.057%,6250,51.22656896735433,90.57971014492753
30,9e-07,72,0.058%,6250,49.919330362134794,86.80555555555556
30,1e-06,75,0.058%,6250,48.72572484388277,83.33333333333333
30,1.1e-06,76,0.058%,6250,47.7602359737739,82.23684210526316
30,1.2e-06,77,0.058%,6250,46.949767504751314,81.16883116883118
30,1.2999999999999998e-06,79,0.059%,6250,46.293210082290805,79.11392405063292
30,1.4e-06,80,0.058%,6250,45.07590782878367,78.125
30,1.5e-06,83,0.058%,6250,44.019044399368944,75.3012048192771
30,1.6e-06,84,0.057%,6250,42.121295853242664,74.4047619047619
30,1.6999999999999998e-06,78,0.050%,6250,40.040232425541184,80.12820512820512
30,1.8e-06,79,0.050%,6250,39.61688883817927,79.11392405063292
30,1.9e-06,83,0.053%,5938153,37974.04299947561,71544.01204819277
30,2e-06,67,0.049%,4661945,33797.394481578674,69581.26865671642
30,2.1e-06,66,0.050%,4395331,32993.52189644042,66595.92424242424
30,2.2e-06,65,0.053%,3774150,30992.30560779129,58063.846153846156
30,2.3e-06,62,0.053%,3542263,30017.142905565725,57133.27419354839
30,2.4e-06,55,0.049%,3222458,28812.850385815575,58590.145454545454
30,2.4999999999999998e-06,52,0.049%,2903081,27514.22587004322,55828.480769230766
30,2.5999999999999997e-06,51,0.050%,2705897,26594.366418665908,53056.80392156863
30,2.7e-06,50,0.051%,2546333,25865.539133526334,50926.66
30,2.8e-06,48,0.050%,2474284,25531.244840680207,51547.583333333336
30,2.8999999999999998e-06,48,0.050%,2405175,25194.839885610134,50107.8125
35,1e-07,51,0.064%,6250,78.41808760241402,122.54901960784314
35,2e-07,54,0.065%,6250,74.98860173253667,115.74074074074075
35,3e-07,59,0.064%,6250,67.64069264069263,105.9322033898305
35,4e-07,57,0.058%,6250,63.80090035830585,109.64912280701755
35,5e-07,58,0.056%,6250,60.02228027043638,107.75862068965517
35,6e-07,63,0.057%,6250,56.611806052481406,99.2063492063492
35,7e-07,62,0.054%,6250,54.028354080221305,100.80645161290323
35,8e-07,67,0.056%,6250,52.33453912111469,93.28358208955224
35,9e-07,69,0.056%,6250,50.94804114971387,90.57971014492753
35,1e-06,75,0.059%,6250,49.522602115605565,83.33333333333333
35,1.1e-06,75,0.058%,6250,48.68890516180297,83.33333333333333
35,1.2e-06,76,0.058%,6250,47.76899677463734,82.23684210526316
35,1.2999999999999998e-06,77,0.058%,6250,47.03987476103744,81.16883116883118
35,1.4e-06,79,0.059%,6250,46.4587297811608,79.11392405063292
35,1.5e-06,81,0.058%,6250,45.10420876392818,77.1604938271605
35,1.6e-06,84,0.060%,6250,44.41128401904356,74.4047619047619
35,1.6999999999999998e-06,84,0.059%,6250,43.73014651348288,74.4047619047619
35,1.8e-06,85,0.057%,6250,41.801266745587455,73.52941176470588
35,1.9e-06,80,0.051%,6250,39.82845089629946,78.125
35,2e-06,86,0.053%,6250,38.61528671078077,72.67441860465117
