constant, lambda, clicks, CTR, spend, CPM, CPC
33,2e-06,72,0.045%,6250.0,39447.85624570019,86805.55555555556
33,2.1e-06,79,0.049%,6250.0,38399.154604212235,79113.92405063291
33,2.2e-06,77,0.047%,6151.714,37824.3471738021,79892.38961038961
33,2.3e-06,63,0.043%,4973.641,34152.350804430374,78946.68253968254
33,2.4e-06,61,0.042%,4838.452,33707.33508426046,79318.88524590163
33,2.4999999999999998e-06,61,0.043%,4747.557,33409.50162559288,77828.80327868853
33,2.5999999999999997e-06,60,0.044%,4377.721,32276.937255769375,72962.01666666666
33,2.7e-06,59,0.044%,4187.123,31554.014031967567,70968.18644067796
33,2.8e-06,57,0.044%,3993.72,30922.873225913852,70065.26315789473
33,2.8999999999999998e-06,57,0.045%,3778.474,30161.4368389543,66289.01754385965
33,3e-06,57,0.046%,3735.941,29988.77008781647,65542.82456140351
33,3.1e-06,56,0.048%,3376.039,28736.649018573058,60286.41071428572
33,3.2e-06,54,0.047%,3187.898,27990.04337366323,59035.148148148146
33,3.2999999999999997e-06,51,0.046%,3032.364,27297.93669655396,59458.117647058825
33,3.3999999999999996e-06,45,0.043%,2662.928,25677.91331179789,59176.177777777775
33,3.5e-06,44,0.043%,2638.469,25549.97240163847,59965.204545454544
33,3.6e-06,44,0.043%,2555.611,25153.899152550715,58082.068181818184
33,3.6999999999999997e-06,44,0.044%,2494.789,24863.85018637007,56699.75
33,3.8e-06,43,0.044%,2365.054,24220.447120751276,55001.25581395349
33,3.9e-06,43,0.044%,2353.129,24143.07553403238,54723.93023255814
33,4e-06,42,0.043%,2311.564,23937.65921752998,55037.23809523809
33,4.1e-06,42,0.044%,2270.848,23726.835792201276,54067.80952380953
33,4.2e-06,40,0.042%,2220.562,23473.91566328742,55514.05
33,4.2999999999999995e-06,39,0.042%,2160.743,23170.015870292526,55403.666666666664
33,4.4e-06,38,0.041%,2150.852,23107.81164387241,56601.36842105263
33,4.5e-06,37,0.040%,2080.652,22764.992286398898,56233.83783783784
33,4.6e-06,37,0.041%,2069.649,22697.501754693807,55936.45945945946
33,4.7e-06,37,0.041%,2008.207,22381.051622681884,54275.86486486487
33,4.8e-06,37,0.042%,1979.311,22220.474650859942,53494.89189189189
33,4.9e-06,37,0.042%,1944.722,22041.005530873153,52560.05405405405
34,2e-06,73,0.047%,6250.0,39816.77910925087,85616.43835616438
