bidprice,clicks, CTR, spend, avgCPM, avgCPC
80,66,0.047%,6250,44.46816079686944,94.6969696969697,
81,67,0.048%,6250,44.66582814018638,93.28358208955224,
82,66,0.047%,6250,44.80768541420224,94.6969696969697,
83,66,0.047%,6250,44.9659697540901,94.6969696969697,
84,66,0.048%,6250,45.666104060264644,94.6969696969697,
85,66,0.048%,6250,45.91773012129627,94.6969696969697,
86,66,0.049%,6250,46.11048810718291,94.6969696969697,
87,65,0.048%,6250,46.263397880026055,96.15384615384616,
88,66,0.050%,6250,47.23183652494597,94.6969696969697,
89,67,0.051%,6250,47.70227673426397,93.28358208955224,
90,65,0.050%,6250,47.878778593206576,96.15384615384616,
91,66,0.051%,6250,48.095051211610524,94.6969696969697,
92,65,0.050%,6250,48.205966741739424,96.15384615384616,
93,65,0.050%,6250,48.345800103653396,96.15384615384616,
94,65,0.050%,6250,48.50977957156163,96.15384615384616,
95,65,0.051%,6250,48.84606066289965,96.15384615384616,
96,65,0.051%,6250,49.00308131375301,96.15384615384616,
97,65,0.051%,6250,49.12131786601277,96.15384615384616,
98,63,0.050%,6250,49.1851012426124,99.2063492063492,
99,63,0.050%,6250,49.28167037264828,99.2063492063492,
100,62,0.049%,6250,49.69467591120158,100.80645161290323,
101,61,0.049%,6250,50.201609664412274,102.45901639344262,
102,61,0.049%,6250,50.320440565521245,102.45901639344262,
103,61,0.049%,6250,50.49729738464397,102.45901639344262,
104,60,0.049%,6250,50.59049222525316,104.16666666666667,
105,59,0.048%,6250,50.73216662878665,105.9322033898305,
106,59,0.048%,6250,50.86676975665337,105.9322033898305,
107,58,0.047%,6250,51.047911527843574,107.75862068965517,
108,58,0.048%,6250,51.22950819672131,107.75862068965517,
109,57,0.047%,6250,51.36381193448443,109.64912280701755,
110,57,0.047%,6250,51.504338725494236,109.64912280701755,
111,56,0.046%,6250,51.65758870641133,111.60714285714286,
112,57,0.047%,6250,51.85990358206726,109.64912280701755,
113,57,0.047%,6250,52.03346792657037,109.64912280701755,
114,57,0.048%,6250,52.17463895149846,109.64912280701755,
115,56,0.047%,6250,52.34199000058623,111.60714285714286,
116,55,0.046%,6250,52.42452964712001,113.63636363636364,
117,56,0.047%,6250,52.57933169566242,111.60714285714286,
118,56,0.047%,6250,52.751519243754224,111.60714285714286,
119,57,0.048%,6250,53.085318724253625,109.64912280701755,
120,57,0.049%,6250,53.22410328030793,109.64912280701755,
121,57,0.049%,6250,53.46861606111677,109.64912280701755,
122,57,0.049%,6250,53.59010855212389,109.64912280701755,
123,57,0.049%,6250,53.71907929795609,109.64912280701755,
124,58,0.050%,6250,53.92952058813378,107.75862068965517,
125,58,0.050%,6250,54.027887034171556,107.75862068965517,
126,57,0.049%,6250,54.23181715634382,109.64912280701755,
127,57,0.050%,6250,54.487598622553506,109.64912280701755,
128,57,0.050%,6250,54.65818954585604,109.64912280701755,
129,57,0.050%,6250,54.80821509374397,109.64912280701755,
130,57,0.050%,6250,54.95471731293414,109.64912280701755,
131,58,0.051%,6250,55.046679584287475,107.75862068965517,
132,58,0.051%,6250,55.22274647016204,107.75862068965517,
133,58,0.052%,6250,55.52396858675953,107.75862068965517,
134,58,0.052%,6250,55.60201412735975,107.75862068965517,
135,57,0.051%,6250,55.74285153671893,109.64912280701755,
136,58,0.052%,6250,55.86692052595354,107.75862068965517,
137,58,0.052%,6250,55.98753045721657,107.75862068965517,
138,58,0.052%,6250,56.06336505772284,107.75862068965517,
139,58,0.052%,6250,56.226272512999515,107.75862068965517,
140,59,0.053%,6250,56.59540173679969,105.9322033898305,
141,58,0.053%,6250,56.75162763668062,107.75862068965517,
142,58,0.053%,6250,57.01982465263523,107.75862068965517,
143,58,0.053%,6250,57.174744314543425,107.75862068965517,
144,58,0.053%,6250,57.312107985181385,107.75862068965517,
145,58,0.053%,6250,57.404226788026854,107.75862068965517,
146,58,0.053%,6250,57.57980561057626,107.75862068965517,
147,58,0.054%,6250,57.74365512717462,107.75862068965517,
148,57,0.053%,6250,58.32672297139657,109.64912280701755,
149,55,0.052%,6250,58.523887109762725,113.63636363636364,
150,55,0.052%,6250,58.83405032429329,113.63636363636364,
151,56,0.053%,6250,59.180562262685946,111.60714285714286,
152,56,0.053%,6250,59.295662403703844,111.60714285714286,
153,57,0.054%,6250,59.455294375053505,109.64912280701755,
154,58,0.055%,6250,59.57089890103605,107.75862068965517,
155,58,0.055%,6250,59.67669553427352,107.75862068965517,
156,57,0.055%,6250,59.82406937677678,109.64912280701755,
157,58,0.056%,6250,60.07478108749772,107.75862068965517,
158,58,0.056%,6250,60.226451457480124,107.75862068965517,
159,57,0.055%,6250,60.339833944776984,109.64912280701755,
160,57,0.056%,6250,61.32862329506427,109.64912280701755,
161,56,0.055%,6250,61.43230651280741,111.60714285714286,
