basebid,clicks, CTR, spend, avgCPM, avgCPC
35,69,0.112%,2091.7360000000513,34.00533229288678,30.315014492754365,
36,69,0.111%,2123.6320000000737,34.04893378226829,30.77727536231991,
37,69,0.105%,2264.5550000001454,34.62198813601005,32.819637681161524,
38,72,0.101%,2583.2980000003777,36.40652789718249,35.87913888889413,
39,74,0.103%,2615.9770000003955,36.49317839406835,35.35104054054589,
40,75,0.102%,2665.9690000004243,36.33199324048658,35.54625333333899,
41,77,0.104%,2726.568000000478,36.6947674418669,35.40997402598023,
42,77,0.102%,2768.2920000005015,36.695281018034215,35.95184415585067,
43,88,0.110%,3095.270000000993,38.642571785280815,35.173522727284016,
44,89,0.109%,3145.328000001039,38.66699449253834,35.34076404495549,
45,90,0.109%,3238.570000001109,39.147678508843654,35.98411111112343,
46,91,0.109%,3279.304000001148,39.19049667767517,36.03630769232031,
47,92,0.109%,3308.2490000011794,39.230264796228816,35.959228260882384,
48,92,0.106%,3400.542000001153,39.18532858576362,36.9624130434908,
49,93,0.106%,3456.392000001208,39.295489944192276,37.165505376357075,
50,93,0.104%,3507.167000001243,39.38336028389304,37.711473118292936,
51,93,0.104%,3533.131000001244,39.41818770083501,37.99065591399187,
52,93,0.103%,3564.061000001271,39.464306673619724,38.32323655915345,
53,93,0.101%,3625.079000001294,39.55437107194149,38.97934408603542,
54,94,0.101%,3676.9540000012794,39.64499121266758,39.11653191490723,
55,95,0.100%,3773.106000001305,39.65929491897354,39.71690526317163,
56,95,0.099%,3828.9590000013363,39.88748255100669,40.30483157896143,
57,95,0.098%,3869.316000001354,39.9755764939391,40.729642105277414,
58,96,0.098%,3920.4860000013855,40.08103134522037,40.83839583334777,
59,96,0.097%,3961.8950000014206,40.14891568708371,41.269739583348134,
60,98,0.097%,4147.470000001346,40.98452508005599,42.32112244899333,
61,103,0.097%,4433.004000001141,41.66905419887148,43.03887378641885,
62,104,0.097%,4472.1340000011305,41.76246906663987,43.00128846154933,
63,104,0.096%,4522.101000001123,41.85347907373825,43.48174038462618,
64,105,0.096%,4565.882000001125,41.927291092755965,43.484590476201184,
65,107,0.097%,4668.256000001116,42.29412191057038,43.62856074767399,
66,107,0.095%,4822.130000001064,42.722110000718196,45.06663551402864,
67,109,0.093%,5078.663000000996,43.40069903776339,46.59323853211923,
68,109,0.093%,5113.149000000977,43.445908743317,46.909623853219976,
69,109,0.092%,5187.787000000966,43.67890309924953,47.594376146797856,
70,110,0.092%,5233.2010000009495,43.77233072645184,47.57455454546318,
71,110,0.091%,5283.612000000944,43.94806361459396,48.03283636364495,
72,110,0.091%,5356.843000000945,44.14446880048246,48.69857272728132,
73,113,0.090%,5652.185000000871,44.99108486098648,50.019336283193546,
74,114,0.090%,5760.024000000889,45.33096186234625,50.52652631579727,
75,115,0.090%,5804.62000000086,45.4184956534734,50.47495652174661,
76,117,0.089%,6138.876000000733,46.65933965706504,52.469025641031905,
77,118,0.089%,6205.9800000008245,46.62854824410435,52.59305084746462,
78,118,0.088%,6247.133000000836,46.71661780982348,52.94180508475284,
79,118,0.088%,6250,46.81402473278555,52.96610169491525,
80,116,0.087%,6250,46.983649689907914,53.87931034482759,
81,107,0.081%,6250,47.244332569864916,58.41121495327103,
82,105,0.080%,6250,47.34131192243599,59.523809523809526,
83,105,0.080%,6250,47.435449839857924,59.523809523809526,
84,105,0.080%,6250,47.589677989202855,59.523809523809526,
85,104,0.079%,6250,47.564687975646876,60.09615384615385,
86,103,0.079%,6250,47.799684904477104,60.679611650485434,
87,103,0.079%,6250,47.9533509801665,60.679611650485434,
88,103,0.079%,6250,48.04772484413318,60.679611650485434,
