basebid,clicks, CTR, spend, avgCPM, avgCPC
92,101,0.079%,6250,48.65289854508372,61.881188118811885,
93,100,0.078%,6250,48.7945787271251,62.5,
94,99,0.078%,6250,48.93555383302406,63.13131313131313,
95,100,0.079%,6250,49.13522012578617,62.5,
96,98,0.077%,6250,49.23236890404809,63.775510204081634,
97,96,0.076%,6250,49.501421680830674,65.10416666666667,
98,95,0.075%,6250,49.65085518632973,65.78947368421052,
99,94,0.075%,6250,49.786515421871016,66.48936170212765,
100,94,0.075%,6250,49.88426849708676,66.48936170212765,
101,94,0.075%,6250,50.13154517453799,66.48936170212765,
102,93,0.075%,6250,50.33705693322487,67.20430107526882,
103,93,0.075%,6250,50.60359973767094,67.20430107526882,
104,92,0.075%,6250,50.94139701687179,67.93478260869566,
105,92,0.075%,6250,51.02957265794674,67.93478260869566,
106,91,0.075%,6250,51.20055050831907,68.68131868131869,
107,91,0.075%,6250,51.28036823406821,68.68131868131869,
108,91,0.075%,6250,51.40605851243204,68.68131868131869,
109,91,0.075%,6250,51.44413989513626,68.68131868131869,
110,91,0.075%,6250,51.73155873394252,68.68131868131869,
111,90,0.075%,6250,52.00143107938331,69.44444444444444,
112,89,0.074%,6250,52.21168706403241,70.2247191011236,
113,90,0.075%,6250,52.30431908145247,69.44444444444444,
114,90,0.075%,6250,52.425848879345054,69.44444444444444,
115,89,0.075%,6250,52.49189525137319,70.2247191011236,
116,88,0.074%,6250,52.64842644383045,71.02272727272727,
117,88,0.074%,6250,52.76577063352695,71.02272727272727,
118,87,0.074%,6250,52.8854290066001,71.83908045977012,
119,86,0.073%,6250,52.999338568254664,72.67441860465117,
120,87,0.074%,6250,53.15936753110886,71.83908045977012,
121,88,0.075%,6250,53.326735038651215,71.02272727272727,
122,88,0.075%,6250,53.43524503265962,71.02272727272727,
123,88,0.075%,6250,53.54144536202584,71.02272727272727,
124,85,0.073%,6250,53.964909857014575,73.52941176470588,
125,85,0.074%,6250,54.09147951014756,73.52941176470588,
126,82,0.071%,6250,54.236523308688255,76.21951219512195,
127,81,0.070%,6250,54.350661773657755,77.1604938271605,
128,81,0.071%,6250,54.486648591629105,77.1604938271605,
129,83,0.073%,6250,54.915605697164594,75.3012048192771,
130,84,0.074%,6250,55.08646371344462,74.4047619047619,
131,84,0.074%,6250,55.18715066533629,74.4047619047619,
132,84,0.074%,6250,55.272560048109234,74.4047619047619,
133,84,0.074%,6250,55.38963283320188,74.4047619047619,
134,84,0.075%,6250,55.46385531476847,74.4047619047619,
135,84,0.075%,6250,55.557530934433224,74.4047619047619,
136,84,0.075%,6250,55.64260532032335,74.4047619047619,
137,84,0.074%,6250,55.1078350115506,74.4047619047619,
138,84,0.074%,6250,55.19348628552253,74.4047619047619,
139,83,0.074%,6250,55.34744914676373,75.3012048192771,
140,83,0.074%,6250,55.431389243649775,75.3012048192771,
141,82,0.073%,6250,55.53235537153367,76.21951219512195,
142,82,0.073%,6250,55.69516476857545,76.21951219512195,
143,81,0.072%,6250,55.80157851505303,77.1604938271605,
144,79,0.071%,6250,55.867919299907925,79.11392405063292,
145,79,0.071%,6250,55.93892364560678,79.11392405063292,
146,79,0.071%,6250,56.11924216575379,79.11392405063292,
147,79,0.071%,6250,56.24094520782154,79.11392405063292,
148,78,0.070%,6250,56.344884785979595,80.12820512820512,
149,77,0.070%,6250,56.47573350682679,81.16883116883118,
150,76,0.069%,6250,56.56466925506593,82.23684210526316,
151,76,0.069%,6250,56.794947521468494,82.23684210526316,
152,76,0.069%,6250,56.87505687505688,82.23684210526316,
153,76,0.069%,6250,57.044805271852724,82.23684210526316,
154,76,0.070%,6250,57.274293464315825,82.23684210526316,
