c, lambda, clicks, CTR, spend, avgCPM, avgCPC
64,2.8e-06,68,0.051%,4386.878000001582,33.11501124750202,64.51291176472915,
64,2.8999999999999998e-06,68,0.055%,3936.655000000739,31.79568051304601,57.89198529412852,
64,3e-06,65,0.054%,3742.4420000007335,31.048076524226865,57.57603076924205,
64,3.1e-06,64,0.055%,3546.1080000005886,30.380541966883893,55.4079375000092,
64,3.2e-06,57,0.051%,3249.840000000389,29.112604138675884,57.014736842112086,
64,3.2999999999999997e-06,53,0.051%,2876.260999999969,27.61440311833915,54.269075471697526,
64,3.3999999999999996e-06,52,0.051%,2784.9359999999615,27.19584387176119,53.556461538460795,
64,3.5e-06,52,0.052%,2637.26699999983,26.471142650658752,50.71667307691981,
64,3.6e-06,50,0.051%,2526.3799999998155,25.962449516486814,50.52759999999631,
64,3.6999999999999997e-06,50,0.052%,2459.7609999997594,25.66019883370116,49.19521999999519,
64,3.8e-06,49,0.052%,2361.9939999997423,25.212352162586377,48.20395918366821,
64,3.9e-06,47,0.051%,2332.2259999997455,25.05991446929862,49.62182978722863,
64,4e-06,47,0.051%,2298.4509999997326,24.886053335351537,48.90321276595176,
64,4.1e-06,46,0.051%,2221.1849999997353,24.53453436868032,48.28663043477685,
64,4.2e-06,46,0.052%,2169.8459999997126,24.296754977265945,47.170565217385054,
64,4.2999999999999995e-06,46,0.052%,2127.03499999972,24.090368541460577,46.23989130434175,
64,4.4e-06,46,0.053%,2080.966999999691,23.89197350141438,45.23841304347154,
64,4.5e-06,46,0.053%,2060.579999999669,23.7939515709942,44.79521739129715,
64,4.6e-06,45,0.052%,2029.8729999996547,23.640008850996374,45.10828888888121,
64,4.7e-06,45,0.053%,1968.740999999601,23.347061962639795,43.74979999999113,
64,4.8e-06,45,0.054%,1926.1159999996373,23.16323929094977,42.80257777776972,
64,4.9e-06,45,0.055%,1892.0419999996247,22.97505828637586,42.04537777776944,
66,1e-06,62,0.054%,6250,53.96397796542852,100.80645161290323,
66,1.1e-06,65,0.055%,6250,52.703033164964715,96.15384615384616,
66,1.2e-06,68,0.056%,6250,51.50773440139771,91.91176470588235,
66,1.2999999999999998e-06,70,0.056%,6250,50.26701840175009,89.28571428571429,
66,1.4e-06,75,0.059%,6250,49.3739384603231,83.33333333333333,
66,1.5e-06,75,0.058%,6250,48.54444340882965,83.33333333333333,
66,1.6e-06,76,0.058%,6250,47.886115325089264,82.23684210526316,
66,1.6999999999999998e-06,77,0.058%,6250,47.214353163361665,81.16883116883118,
66,1.8e-06,77,0.058%,6250,46.74644727000748,81.16883116883118,
66,1.9e-06,80,0.059%,6250,46.21413782904466,78.125,
66,2e-06,81,0.059%,6250,45.850695463348785,77.1604938271605,
66,2.1e-06,86,0.061%,6250,44.651787500357216,72.67441860465117,
66,2.2e-06,85,0.060%,6250,43.7632164913804,73.52941176470588,
66,2.3e-06,85,0.058%,6250,42.757554404712224,73.52941176470588,
66,2.4e-06,88,0.059%,6250,41.65111691635123,71.02272727272727,
66,2.4999999999999998e-06,82,0.052%,6250,39.704219446809056,76.21951219512195,
66,2.5999999999999997e-06,87,0.054%,6249.436000002917,38.9637573180722,71.83259770118296,
66,2.7e-06,85,0.055%,5854.167000002601,37.86482500794014,68.87255294120706,
66,2.8e-06,70,0.051%,4608.746000002,33.86940929201758,65.83922857145714,
66,2.8999999999999998e-06,68,0.055%,3952.6330000007474,31.870418151624285,58.12695588236393,
66,3e-06,66,0.054%,3825.0670000007094,31.39753092500603,57.95556060607135,
66,3.1e-06,64,0.054%,3595.354000000633,30.54546535831641,56.17740625000989,
66,3.2e-06,58,0.051%,3388.2700000005066,29.778088307675127,58.4184482758708,
66,3.2999999999999997e-06,54,0.051%,2923.1529999999684,27.819416422398724,54.13246296296238,
66,3.3999999999999996e-06,53,0.051%,2832.3969999999604,27.438794489759946,53.441452830187934,
66,3.5e-06,52,0.052%,2673.0149999998666,26.63506282571088,51.40413461538205,
66,3.6e-06,51,0.052%,2547.9119999998256,26.07306440719414,49.95905882352599,
66,3.6999999999999997e-06,50,0.051%,2516.2779999998106,25.907357453203165,50.325559999996216,
66,3.8e-06,50,0.052%,2451.2709999997537,25.613581743325675,49.02541999999507,
66,3.9e-06,48,0.051%,2352.93299999974,25.165327971419373,49.01943749999458,
66,4e-06,47,0.051%,2304.874999999732,24.934010536675345,49.03989361701558,
66,4.1e-06,47,0.052%,2224.4139999997383,24.566130671022425,47.32795744680294,
66,4.2e-06,46,0.051%,2197.648999999735,24.424835511689064,47.77497826086381,
66,4.2999999999999995e-06,46,0.052%,2132.091999999718,24.124418696746037,46.349826086950394,
66,4.4e-06,46,0.053%,2096.1959999996907,23.96885255273787,45.569478260862844,
66,4.5e-06,46,0.053%,2062.928999999671,23.81750063499747,44.8462826086885,
66,4.6e-06,45,0.052%,2032.201999999655,23.66354987831315,45.16004444443678,
66,4.7e-06,45,0.053%,1999.1699999996117,23.51522066434097,44.42599999999137,
66,4.8e-06,45,0.053%,1963.5909999995984,23.32471342875332,43.63535555554663,
66,4.9e-06,45,0.055%,1897.4879999996253,23.033078015557294,42.166399999991675,
68,1e-06,62,0.054%,6250,54.207358323648286,100.80645161290323,
68,1.1e-06,65,0.055%,6250,52.820621170504964,96.15384615384616,
68,1.2e-06,68,0.056%,6250,51.60810866603361,91.91176470588235,
68,1.2999999999999998e-06,70,0.056%,6250,50.422744288111524,89.28571428571429,
68,1.4e-06,75,0.059%,6250,49.50063756821188,83.33333333333333,
68,1.5e-06,75,0.058%,6250,48.747767352255266,83.33333333333333,
68,1.6e-06,75,0.058%,6250,47.99643674453609,83.33333333333333,
68,1.6999999999999998e-06,77,0.058%,6250,47.31873140373856,81.16883116883118,
68,1.8e-06,76,0.057%,6250,46.803507642076724,82.23684210526316,
68,1.9e-06,79,0.059%,6250,46.320314237011786,79.11392405063292,
68,2e-06,81,0.059%,6250,45.87896761311918,77.1604938271605,
68,2.1e-06,84,0.060%,6250,44.81089801039613,74.4047619047619,
68,2.2e-06,83,0.058%,6250,43.82028774153743,75.3012048192771,
68,2.3e-06,85,0.059%,6250,43.51034501963186,73.52941176470588,
68,2.4e-06,89,0.059%,6250,41.730932302412384,70.2247191011236,
68,2.4999999999999998e-06,81,0.052%,6250,39.82083808528668,77.1604938271605,
68,2.5999999999999997e-06,87,0.054%,6250,39.02566952438636,71.83908045977012,
68,2.7e-06,86,0.055%,5912.025000002556,37.988183360337196,68.74447674421577,
68,2.8e-06,72,0.051%,4920.947000002456,35.01905039781995,68.34648611114523,
68,2.8999999999999998e-06,68,0.052%,4272.575000001501,32.76615080218336,62.83198529413973,
68,3e-06,66,0.054%,3857.083000000695,31.545104357503718,58.440651515162045,
68,3.1e-06,65,0.054%,3703.3080000007476,30.92661906552046,56.97396923078073,
68,3.2e-06,61,0.053%,3462.3510000006213,30.075493823948694,56.759852459026575,
68,3.2999999999999997e-06,54,0.051%,2962.414000000013,27.97289972899741,54.85951851851876,
68,3.3999999999999996e-06,54,0.052%,2874.1659999999692,27.607011814426752,53.225296296295724,
68,3.5e-06,52,0.051%,2739.3279999999118,26.97968148286677,52.679384615382915,
68,3.6e-06,52,0.052%,2635.95299999983,26.46937791835949,50.69140384615058,
68,3.6999999999999997e-06,50,0.051%,2520.702999999813,25.943567892465218,50.41405999999626,
68,3.8e-06,50,0.052%,2454.244999999754,25.640638549053502,49.08489999999508,
68,3.9e-06,48,0.051%,2359.905999999743,25.22884327560127,49.16470833332798,
68,4e-06,47,0.051%,2317.1009999997373,25.010804801171552,49.30002127659016,
68,4.1e-06,47,0.052%,2232.827999999742,24.617728776182386,47.50697872339877,
68,4.2e-06,47,0.052%,2201.556999999736,24.462559863103614,46.84163829786672,
68,4.2999999999999995e-06,46,0.052%,2171.9469999997127,24.316741118907654,47.21623913042854,
68,4.4e-06,46,0.053%,2098.0339999996904,23.986852033929647,45.609434782601966,
68,4.5e-06,46,0.053%,2078.4759999996927,23.885312403034884,45.184260869558535,
68,4.6e-06,45,0.052%,2037.6999999996526,23.69997324927776,45.2822222222145,
68,4.7e-06,45,0.053%,2002.6599999996135,23.550731454908668,44.50355555554697,
68,4.8e-06,45,0.053%,1972.2279999996013,23.383699698840452,43.82728888888003,
68,4.9e-06,45,0.054%,1928.7179999996367,23.190905046468394,42.86039999999193,
70,1e-06,62,0.054%,6250,54.312876931365906,100.80645161290323,
70,1.1e-06,65,0.055%,6250,52.99619275351259,96.15384615384616,
70,1.2e-06,68,0.056%,6250,51.67809096997709,91.91176470588235,
70,1.2999999999999998e-06,70,0.057%,6250,50.66923931284405,89.28571428571429,
70,1.4e-06,72,0.057%,6250,49.67137418836975,86.80555555555556,
70,1.5e-06,75,0.059%,6250,48.899564207083785,83.33333333333333,
70,1.6e-06,76,0.059%,6250,48.15211445564998,82.23684210526316,
70,1.6999999999999998e-06,77,0.058%,6250,47.38869343685551,81.16883116883118,
70,1.8e-06,76,0.057%,6250,46.87300789716437,82.23684210526316,
70,1.9e-06,79,0.059%,6250,46.472893290801345,79.11392405063292,
70,2e-06,80,0.059%,6250,46.0449251125338,78.125,
70,2.1e-06,83,0.060%,6250,44.86171823969796,75.3012048192771,
70,2.2e-06,84,0.059%,6250,44.23087810677688,74.4047619047619,
70,2.3e-06,84,0.059%,6250,43.58924287228701,74.4047619047619,
70,2.4e-06,89,0.059%,6250,41.742359478521045,70.2247191011236,
70,2.4999999999999998e-06,81,0.052%,6250,39.843431252549976,77.1604938271605,
70,2.5999999999999997e-06,88,0.055%,6250,39.12901933286587,71.02272727272727,
70,2.7e-06,86,0.055%,5949.6380000025365,38.114517069312015,69.18183720933182,
70,2.8e-06,83,0.055%,5642.409000002791,37.40360750936541,67.98083132533483,
70,2.8999999999999998e-06,68,0.051%,4387.676000001584,33.11978502254383,64.52464705884682,
70,3e-06,68,0.055%,3918.2930000007086,31.743518908589945,57.62195588236336,
70,3.1e-06,65,0.054%,3705.1660000007478,30.9398099437242,57.00255384616535,
70,3.2e-06,64,0.055%,3549.45300000059,30.405292192778614,55.460203125009215,
70,3.2999999999999997e-06,54,0.051%,2974.1940000000113,28.03383823626452,55.07766666666688,
70,3.3999999999999996e-06,54,0.052%,2878.8719999999694,27.635490962149206,53.31244444444388,
70,3.5e-06,52,0.051%,2796.753999999961,27.291795152035213,53.78373076923002,
70,3.6e-06,52,0.052%,2637.971999999832,26.486992318889822,50.73023076922754,
70,3.6999999999999997e-06,50,0.051%,2528.117999999815,25.991261257554537,50.562359999996296,
70,3.8e-06,50,0.052%,2462.7519999997617,25.687917222961467,49.25503999999523,
70,3.9e-06,50,0.053%,2369.740999999749,25.286677693002712,47.39481999999498,
70,4e-06,47,0.051%,2323.236999999739,25.069730552165606,49.430574468079556,
70,4.1e-06,47,0.051%,2265.5859999997615,24.76997758705255,48.203957446803436,
70,4.2e-06,47,0.052%,2226.0049999997373,24.580986770906353,47.361808510632706,
70,4.2999999999999995e-06,46,0.051%,2174.888999999716,24.34586323082977,47.280195652167734,
70,4.4e-06,46,0.053%,2101.9999999996953,24.01517228772159,45.69565217390642,
70,4.5e-06,46,0.053%,2083.4589999996892,23.916740325780186,45.29258695651498,
70,4.6e-06,46,0.053%,2063.8309999996723,23.826539211947406,44.8658913043407,
70,4.7e-06,45,0.052%,2033.2319999996548,23.674165152993044,45.182933333325664,
70,4.8e-06,45,0.053%,1977.988999999602,23.440332290476892,43.95531111110226,
70,4.9e-06,45,0.054%,1933.4809999996369,23.240350982626804,42.96624444443638,
72,1e-06,61,0.053%,6250,54.4752508040547,102.45901639344262,
72,1.1e-06,65,0.055%,6250,53.13180087051143,96.15384615384616,
72,1.2e-06,68,0.056%,6250,51.78342101992626,91.91176470588235,
72,1.2999999999999998e-06,70,0.057%,6250,50.93599993480192,89.28571428571429,
72,1.4e-06,72,0.057%,6250,49.77898132292621,86.80555555555556,
72,1.5e-06,75,0.059%,6250,49.02460643045958,83.33333333333333,
72,1.6e-06,76,0.059%,6250,48.25993961716355,82.23684210526316,
72,1.6999999999999998e-06,76,0.058%,6250,47.669531923332144,82.23684210526316,
72,1.8e-06,77,0.058%,6250,46.93742677761423,81.16883116883118,
72,1.9e-06,79,0.059%,6250,46.561871414735904,79.11392405063292,
72,2e-06,80,0.059%,6250,46.06868287792905,78.125,
72,2.1e-06,82,0.059%,6250,44.96532274310052,76.21951219512195,
72,2.2e-06,86,0.061%,6250,44.54009677672228,72.67441860465117,
72,2.3e-06,84,0.059%,6250,43.604448351403015,74.4047619047619,
72,2.4e-06,86,0.058%,6250,41.909181128128104,72.67441860465117,
72,2.4999999999999998e-06,85,0.055%,6250,40.247279283920406,73.52941176470588,
72,2.5999999999999997e-06,81,0.051%,6250,39.590538811397,77.1604938271605,
72,2.7e-06,86,0.055%,6040.697000002628,38.38751024715544,70.24066279072822,
72,2.8e-06,86,0.056%,5849.696000002612,37.85524953408193,68.01972093026293,
72,2.8999999999999998e-06,70,0.052%,4488.999000001846,33.54354908614056,64.12855714288351,
72,3e-06,68,0.055%,3952.7550000007477,31.87320082248718,58.128750000010996,
72,3.1e-06,66,0.055%,3777.734000000736,31.22765222279776,57.23839393940509,
72,3.2e-06,65,0.056%,3552.0860000005937,30.423677133122577,54.64747692308606,
72,3.2999999999999997e-06,57,0.051%,3254.922000000392,29.15107875010427,57.103894736848986,
72,3.3999999999999996e-06,54,0.051%,2925.7199999999707,27.84066686967085,54.17999999999946,
72,3.5e-06,53,0.052%,2798.22399999996,27.304008430583895,52.79667924528227,
72,3.6e-06,52,0.052%,2649.8319999998407,26.57592169133711,50.95830769230463,
72,3.6999999999999997e-06,50,0.051%,2532.900999999819,26.020905887548093,50.65801999999638,
72,3.8e-06,50,0.052%,2466.1309999997643,25.718601716565658,49.32261999999528,
72,3.9e-06,50,0.053%,2372.35799999975,25.31109166950911,47.447159999995,
72,4e-06,48,0.051%,2360.469999999743,25.23784066973605,49.17645833332798,
72,4.1e-06,47,0.051%,2312.44399999974,25.00750513679831,49.20093617020723,
72,4.2e-06,47,0.052%,2230.879999999739,24.62883638772068,47.46553191488807,
72,4.2999999999999995e-06,47,0.053%,2179.9179999997186,24.37896173029724,46.381234042547206,
72,4.4e-06,46,0.052%,2136.597999999722,24.16802027011427,46.447782608689614,
72,4.5e-06,46,0.053%,2098.734999999692,23.994043604016188,45.62467391303678,
72,4.6e-06,46,0.053%,2065.2239999996727,23.84014406427105,44.896173913036364,
72,4.7e-06,45,0.052%,2035.1079999996546,23.692698146591862,45.22462222221455,
72,4.8e-06,45,0.053%,2004.0699999996139,23.565095715154673,44.53488888888031,
72,4.9e-06,45,0.053%,1970.763999999599,23.40018997862264,43.794755555546644,
74,1e-06,63,0.055%,6250,54.81013768306586,99.2063492063492,
74,1.1e-06,65,0.055%,6250,53.26265733788978,96.15384615384616,
74,1.2e-06,68,0.057%,6250,51.93963368015158,91.91176470588235,
74,1.2999999999999998e-06,69,0.056%,6250,50.98919029165817,90.57971014492753,
74,1.4e-06,72,0.057%,6250,49.87153093630807,86.80555555555556,
74,1.5e-06,74,0.058%,6250,49.09430820228426,84.45945945945945,
74,1.6e-06,75,0.058%,6250,48.37723406066892,83.33333333333333,
74,1.6999999999999998e-06,76,0.058%,6250,47.73798339481986,82.23684210526316,
74,1.8e-06,77,0.058%,6250,47.03208717115165,81.16883116883118,
74,1.9e-06,77,0.057%,6250,46.64179104477612,81.16883116883118,
74,2e-06,80,0.059%,6250,46.203205393577385,78.125,
74,2.1e-06,81,0.059%,6250,45.716208407393594,77.1604938271605,
74,2.2e-06,86,0.061%,6250,44.66104056651637,72.67441860465117,
74,2.3e-06,84,0.059%,6250,43.698043026841084,74.4047619047619,
74,2.4e-06,87,0.059%,6250,42.69738145499013,71.83908045977012,
74,2.4999999999999998e-06,89,0.059%,6250,41.61007696199835,70.2247191011236,
74,2.5999999999999997e-06,82,0.052%,6250,39.66893890348706,76.21951219512195,
74,2.7e-06,87,0.054%,6250,38.97091834189655,71.83908045977012,
74,2.8e-06,86,0.056%,5855.756000002601,37.87289801833316,68.09018604654187,
74,2.8999999999999998e-06,70,0.052%,4577.4660000019585,33.785028932466034,65.3923714285994,
74,3e-06,68,0.055%,3953.9440000007485,31.878932516332732,58.14623529412865,
74,3.1e-06,66,0.054%,3829.2830000007107,31.42749394723387,58.019439393950165,
74,3.2e-06,65,0.055%,3600.130000000632,30.58006591465609,55.38661538462511,
74,3.2999999999999997e-06,59,0.052%,3401.714000000521,29.855833874567935,57.65616949153426,
74,3.3999999999999996e-06,54,0.051%,2927.505999999971,27.855541600060622,54.21307407407354,
74,3.5e-06,54,0.052%,2840.3769999999618,27.50224636418174,52.59957407407337,
74,3.6e-06,52,0.052%,2713.376999999912,26.891477785154876,52.180326923075235,
74,3.6999999999999997e-06,51,0.052%,2552.550999999828,26.114656654115116,50.050019607839765,
74,3.8e-06,50,0.051%,2523.948999999816,25.973233856442665,50.47897999999632,
74,3.9e-06,50,0.052%,2458.56399999976,25.680395249483066,49.17127999999521,
74,4e-06,49,0.052%,2363.7259999997423,25.26508973139094,48.23930612244372,
74,4.1e-06,47,0.051%,2316.154999999739,25.043033074915815,49.27989361701573,
