base_bid,Clicks,CTR,Spend,aCPM,aCPC
108,68,0.0006740548363434508,6250.0,91.91176470588236,0.09191176470588236
109,68,0.0006756958176416228,6250.0,91.91176470588236,0.09191176470588236
110,66,0.0006571872386187119,6250.0,94.6969696969697,0.0946969696969697
111,65,0.0006488061965982592,6250.0,96.15384615384616,0.09615384615384616
112,65,0.0006505334374186833,6250.0,96.15384615384616,0.09615384615384616
113,64,0.0006421189926758302,6250.0,97.65625,0.09765625
114,64,0.0006434036050708247,6250.0,97.65625,0.09765625
115,64,0.0006450247427459912,6250.0,97.65625,0.09765625
116,63,0.0006364600697075315,6250.0,99.2063492063492,0.0992063492063492
117,63,0.0006379746835443038,6250.0,99.2063492063492,0.0992063492063492
118,63,0.0006394251263625845,6250.0,99.2063492063492,0.0992063492063492
119,62,0.0006307928659361679,6250.0,100.80645161290322,0.10080645161290322
120,62,0.0006321048070551052,6250.0,100.80645161290322,0.10080645161290322
121,61,0.0006232057294061156,6250.0,102.45901639344262,0.10245901639344263
122,60,0.0006143449546920596,6250.0,104.16666666666667,0.10416666666666667
123,60,0.0006154919319265923,6250.0,104.16666666666667,0.10416666666666667
124,60,0.0006168016777005634,6250.0,104.16666666666667,0.10416666666666667
125,60,0.0006180087757246153,6250.0,104.16666666666667,0.10416666666666667
126,59,0.0006088562789593717,6250.0,105.9322033898305,0.1059322033898305
127,59,0.0006099704319417736,6250.0,105.9322033898305,0.1059322033898305
128,59,0.000611050696494226,6250.0,105.9322033898305,0.1059322033898305
129,59,0.000612083990372645,6250.0,105.9322033898305,0.1059322033898305
130,59,0.0006132673637818847,6250.0,105.9322033898305,0.1059322033898305
131,59,0.0006144809198466922,6250.0,105.9322033898305,0.1059322033898305
132,59,0.0006155643890784271,6250.0,105.9322033898305,0.1059322033898305
133,59,0.0006166001295905357,6250.0,105.9322033898305,0.1059322033898305
134,59,0.0006177945780672454,6250.0,105.9322033898305,0.1059322033898305
135,59,0.0006189027588377216,6250.0,105.9322033898305,0.1059322033898305
136,59,0.000619793472209091,6250.0,105.9322033898305,0.1059322033898305
137,60,0.0006312334301224593,6250.0,104.16666666666667,0.10416666666666667
138,60,0.0006324510640989153,6250.0,104.16666666666667,0.10416666666666667
139,60,0.0006337068683262745,6250.0,104.16666666666667,0.10416666666666667
140,59,0.0006242395386975612,6250.0,105.9322033898305,0.1059322033898305
141,59,0.0006253709827863987,6250.0,105.9322033898305,0.1059322033898305
142,59,0.0006265797243049213,6250.0,105.9322033898305,0.1059322033898305
143,59,0.0006276261900962715,6250.0,105.9322033898305,0.1059322033898305
144,59,0.0006286091755630847,6250.0,105.9322033898305,0.1059322033898305
145,60,0.0006400751021453184,6250.0,104.16666666666667,0.10416666666666667
146,60,0.0006412517233640065,6250.0,104.16666666666667,0.10416666666666667
147,60,0.0006419446643699313,6250.0,104.16666666666667,0.10416666666666667
148,60,0.0006429558825105284,6250.0,104.16666666666667,0.10416666666666667
149,60,0.0006440947248642034,6250.0,104.16666666666667,0.10416666666666667
